"",".id","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"1","2","HS",2017,201711,"November 2017",4,0,2,"Exports",51,"Armenia",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,10105,NA,3628,NA,NA,0
"2","2","HS",2017,201711,"November 2017",4,0,2,"Exports",51,"Armenia",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,10105,NA,3628,NA,NA,0
"3","5","HS",2017,201711,"November 2017",4,0,2,"Exports",76,"Brazil",NA,752,"Sweden",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,NA,NA,290,NA,NA,0
"4","5","HS",2017,201711,"November 2017",4,0,2,"Exports",76,"Brazil",NA,842,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,NA,NA,123390,NA,NA,0
"5","5","HS",2017,201711,"November 2017",4,0,2,"Exports",76,"Brazil",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,NA,NA,174103,NA,NA,0
"6","5","HS",2017,201711,"November 2017",4,0,2,"Exports",76,"Brazil",NA,826,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1077,NA,21600,NA,NA,0
"7","5","HS",2017,201711,"November 2017",4,0,2,"Exports",76,"Brazil",NA,376,"Israel",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,18150,NA,3630,NA,NA,0
"8","5","HS",2017,201711,"November 2017",4,0,2,"Exports",76,"Brazil",NA,600,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,61191,NA,24577,NA,NA,0
"9","5","HS",2017,201711,"November 2017",4,0,2,"Exports",76,"Brazil",NA,344,"China, Hong Kong SAR",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,90,NA,616,NA,NA,0
"10","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,724,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,38060,NA,28377,NA,NA,0
"11","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,233,"Estonia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,205280,NA,15664,NA,NA,0
"12","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,428,"Latvia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,393501,NA,182855,NA,NA,0
"13","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,352,"Iceland",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,5,NA,70,NA,NA,0
"14","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,458,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,78100,NA,15987,NA,NA,0
"15","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,344,"China, Hong Kong SAR",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,87895,NA,52856,NA,NA,0
"16","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,642,"Romania",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,16880,NA,588,NA,NA,0
"17","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,203,"Czech Rep.",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,221774,NA,33796,NA,NA,0
"18","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,586,"Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,79580,NA,79,NA,NA,0
"19","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,484,"Mexico",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,24553,NA,17724,NA,NA,0
"20","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,156,"China",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,40000,NA,26659,NA,NA,0
"21","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,818,"Egypt",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,19340,NA,2837,NA,NA,0
"22","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,56,"Belgium",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,41030,NA,238,NA,NA,0
"23","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,702,"Singapore",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,76900,NA,7994,NA,NA,0
"24","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,764,"Thailand",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,100380,NA,16048,NA,NA,0
"25","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,234,"Faeroe Isds",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,1125,NA,2409,NA,NA,0
"26","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,616,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,52447,NA,9238,NA,NA,0
"27","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,826,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,99840,NA,22135,NA,NA,0
"28","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,528,"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,263061,NA,120357,NA,NA,0
"29","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,276,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,2536425,NA,734317,NA,NA,0
"30","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,752,"Sweden",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,75517,NA,31719,NA,NA,0
"31","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,4611084,NA,1414469,NA,NA,0
"32","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,579,"Norway",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,10489,NA,70493,NA,NA,0
"33","10","HS",2017,201711,"November 2017",4,0,2,"Exports",208,"Denmark",NA,842,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,148902,NA,22029,NA,NA,0
"34","11","HS",2017,201711,"November 2017",4,0,2,"Exports",222,"El Salvador",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,809896,NA,415346,NA,NA,0
"35","11","HS",2017,201711,"November 2017",4,0,2,"Exports",222,"El Salvador",NA,188,"Costa Rica",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,9732,NA,8898,NA,NA,0
"36","11","HS",2017,201711,"November 2017",4,0,2,"Exports",222,"El Salvador",NA,218,"Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,76161,NA,81750,NA,NA,0
"37","11","HS",2017,201711,"November 2017",4,0,2,"Exports",222,"El Salvador",NA,320,"Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,101191,NA,2798,NA,NA,0
"38","11","HS",2017,201711,"November 2017",4,0,2,"Exports",222,"El Salvador",NA,340,"Honduras",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,581496,NA,277705,NA,NA,0
"39","11","HS",2017,201711,"November 2017",4,0,2,"Exports",222,"El Salvador",NA,490,"Other Asia, nes",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,21832,NA,36000,NA,NA,0
"40","11","HS",2017,201711,"November 2017",4,0,2,"Exports",222,"El Salvador",NA,558,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,45,NA,5,NA,NA,0
"41","11","HS",2017,201711,"November 2017",4,0,2,"Exports",222,"El Salvador",NA,842,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,19439,NA,8190,NA,NA,0
"42","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,5036150,NA,1253728,NA,NA,0
"43","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,40,"Austria",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,110970,NA,41814,NA,NA,0
"44","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,100,"Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,2162628,NA,559847,NA,NA,0
"45","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,196,"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,13690,NA,2907,NA,NA,0
"46","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,276,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,24000,NA,24199,NA,NA,0
"47","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,344,"China, Hong Kong SAR",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,146218,NA,71449,NA,NA,0
"48","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,381,"Italy",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,252524,NA,149024,NA,NA,0
"49","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,458,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,409158,NA,24039,NA,NA,0
"50","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,528,"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,615580,NA,85159,NA,NA,0
"51","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,616,"Poland",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,12680,NA,3717,NA,NA,0
"52","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,642,"Romania",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,305783,NA,140207,NA,NA,0
"53","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,704,"Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,127660,NA,12712,NA,NA,0
"54","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,757,"Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,27,NA,2,NA,NA,0
"55","14","HS",2017,201711,"November 2017",4,0,2,"Exports",300,"Greece",NA,792,"Turkey",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,855232,NA,138652,NA,NA,0
"56","15","HS",2017,201711,"November 2017",4,0,2,"Exports",352,"Iceland",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,351487,NA,69051,NA,NA,0
"57","15","HS",2017,201711,"November 2017",4,0,2,"Exports",352,"Iceland",NA,234,"Faeroe Isds",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,351,NA,7274,NA,NA,0
"58","15","HS",2017,201711,"November 2017",4,0,2,"Exports",352,"Iceland",NA,276,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,18130,NA,6322,NA,NA,0
"59","15","HS",2017,201711,"November 2017",4,0,2,"Exports",352,"Iceland",NA,440,"Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,2844,NA,1193,NA,NA,0
"60","15","HS",2017,201711,"November 2017",4,0,2,"Exports",352,"Iceland",NA,528,"Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,183440,NA,37584,NA,NA,0
"61","15","HS",2017,201711,"November 2017",4,0,2,"Exports",352,"Iceland",NA,724,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,4219,NA,59,NA,NA,0
"62","15","HS",2017,201711,"November 2017",4,0,2,"Exports",352,"Iceland",NA,752,"Sweden",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,117222,NA,9842,NA,NA,0
"63","15","HS",2017,201711,"November 2017",4,0,2,"Exports",352,"Iceland",NA,826,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,25281,NA,6778,NA,NA,0
"64","17","HS",2017,201711,"November 2017",4,0,2,"Exports",398,"Kazakhstan",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,220340,NA,44068,NA,NA,0
"65","17","HS",2017,201711,"November 2017",4,0,2,"Exports",398,"Kazakhstan",NA,860,"Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,220340,NA,44068,NA,NA,0
"66","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,36,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,18399,NA,7036,NA,NA,0
"67","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,381,"Italy",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,20000,NA,60038,NA,NA,0
"68","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,608,"Philippines",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,171476,NA,84287,NA,NA,0
"69","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,710,"South Africa",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,177010,NA,108067,NA,NA,0
"70","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,842,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,336027,NA,118121,NA,NA,0
"71","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,203,"Czech Rep.",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,26504,NA,31187,NA,NA,0
"72","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,704,"Viet Nam",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,18317517,NA,5964207,NA,NA,0
"73","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,104,"Myanmar",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,24030,NA,15487,NA,NA,0
"74","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,699,"India",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,681012,NA,305731,NA,NA,0
"75","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,764,"Thailand",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,9607086,NA,3253072,NA,NA,0
"76","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,344,"China, Hong Kong SAR",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,11037291,NA,5001322,NA,NA,0
"77","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,826,"United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,29975,NA,38117,NA,NA,0
"78","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,0,"World",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,107565691,NA,39207102,NA,NA,0
"79","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,490,"Other Asia, nes",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,11591847,NA,3688756,NA,NA,0
"80","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,643,"Russian Federation",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,144440,NA,87216,NA,NA,0
"81","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,144,"Sri Lanka",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,105434,NA,50489,NA,NA,0
"82","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,360,"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,169386,NA,61321,NA,NA,0
"83","17","HS",2017,201711,"November 2017",4,0,2,"Exports",392,"Japan",NA,458,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,"3915","Waste, parings and scrap, of plastics",0,NA,NA,NA,NA,NA,8932861,NA,2895117,NA,NA,0
